text,likes,replies,predicted_stance
"Looking at these comments, no wonder there will be wars until the end of time.",0,0,pro-Israel/anti-Hamas
NO MERCY…PUBLIC STAGE..WHO CARES. WAR IS WAR AND POLITICS IS POLITICS. YOU CANT DO BOTH ….TKE CARE OF BUSINESS,1,1,pro-Israel/anti-Hamas
Are the hostages getting fed?,0,0,pro-Israel/anti-Hamas
That is a crazy jaw line my god,0,0,pro-Israel/anti-Hamas
I don't understand why there is a statehood for the Palestinians like Israel was in 1948? Could someone educate me here? thanks.,1,0,pro-Israel/anti-Hamas
There's more hostages than think,0,0,pro-Israel/anti-Hamas
If Gaza is the most densely populated place in the world an its a small place where do you expect the Hamas leaders to hide?the middle of an empty field smh,4,7,pro-Israel/anti-Hamas
Mom told the truth daughter miss translating,0,0,pro-Israel/anti-Hamas
Antiaribic propaganda,2,0,pro-Israel/anti-Hamas
Google the USS LIBERTY,1,0,pro-Israel/anti-Hamas
The media sucks...Yall on the wrong side of history,2,1,pro-Israel/anti-Hamas
they are willing to sacrifice the hostages if they succeed,0,0,pro-Israel/anti-Hamas
30 children are being held,0,0,pro-Israel/anti-Hamas
Que horrible gaza...!. es como tener una ratonera y culebrera horrible!!!!,0,0,pro-Israel/anti-Hamas
The world has to thank Israel for exposing America's hypocrisy.,5,1,pro-Israel/anti-Hamas
Saying they have*** about,0,0,pro-Israel/anti-Hamas
And that is Mary and Giana,0,0,pro-Israel/anti-Hamas
Das ist gut!,0,0,pro-Israel/anti-Hamas
If you play the whole hostage interview you'll end up with a different view .. be fair fox,3,0,pro-Israel/anti-Hamas
Where was the IDF when this happened?,0,0,pro-Israel/anti-Hamas
"""it looks like a spiderweb"" could be a benogn comment but how tf does she see that? Wouldn't she be more likely to say ""it was like an ants nest or something? Spiderweb implies she saw a map or something, maybe went out of body.. hmm",1,0,neutral
Where did the Israeli and Hamas meet to discuss apartments as an exchange. The panel is clearly having someone sick in the head to read this out loud.,0,0,pro-Israel/anti-Hamas
What apartment?,0,0,pro-Israel/anti-Hamas
"Dan O' Shea, a Former Navy Officer and SEAL Team Commander, was a contestant on USA Network's "" Combat Missions"" in 2001, in Alpha Squad, and, was DQd for putting a poncho over a "" Hostage"" in a mock up ,simulated , In Extremis Hostage Rescue scenario.",0,0,pro-Israel/anti-Hamas
How did the IDF fighter die? Did he make it in the tunnel?,0,0,pro-Israel/anti-Hamas
You have edited the video to fit your narrative,0,0,pro-Israel/anti-Hamas
Why do they have four now ?,0,0,pro-Israel/anti-Hamas
200 hostages ??????,0,0,pro-Israel/anti-Hamas
No kids out yet. . Just old ppl.....,0,0,pro-Israel/anti-Hamas
Network of tunnels was she reading of a paper,0,0,pro-Israel/anti-Hamas
"Please leave it to the IDF to fight their own way. Americans have proven to be inept in fighting any modern war except for the elite troops. Examples: Vietnam, Afghanistan, Bay of Pig...",0,0,pro-Israel/anti-Hamas
The Crimson Chin is REAL!,0,0,pro-Israel/anti-Hamas
Saying they don’t have values is like saying the Klan wasn’t a Christian organization,0,0,pro-Israel/anti-Hamas
Smh I just don't understand how Israel can wipe out Hamas without killing innocent people,1,0,pro-Israel/anti-Hamas
Whose side is the US on?,0,0,pro-Israel/anti-Hamas
Study the scopian and the grasshopper and combine their skills to know some type of specific people.,0,0,pro-Israel/anti-Hamas
Will they get a bobble head doll.,0,0,pro-Israel/anti-Hamas
"Heard hamas militants were offered 10,000 and a house for each hostage (by hamas militant who was captured)",1,2,pro-Israel/anti-Hamas
Lies,1,0,pro-Israel/anti-Hamas
"Poor Palestinians and poor Israelis, frankly israel did worse in the past bit now everyone says Israel is the victim",0,0,pro-Israel/anti-Hamas
"They did this after the Olympics in Berlin, if I remember correctly",0,1,pro-Israel/anti-Hamas
"Now that Kevin McCarthy has been successfully booted, it’s time to replace the other 2 McFailures: Ronna Romney McDaniel and Mitch Zelensky-simp McConnell",0,0,pro-Israel/anti-Hamas
Hi guys how it's going,0,0,pro-Israel/anti-Hamas
One has to be very careful and cautious.,0,1,pro-Israel/anti-Hamas
All the sudden they have the tech to indicate these people? And before the equivalent of the CIA had no idea what was happening?,0,1,pro-Israel/anti-Hamas
"Hamas must be embarrassed about who they are and what they stand for, because they always have their faces covered..",0,0,pro-Israel/anti-Hamas
Why palestinians allowed themselves to be use by hamas as a human shield? Are they protecting hamas in exchange of their lives thats horrible,3,0,pro-Israel/anti-Hamas
Stop with this fake news war room. Its all a show for me. And its disgusting.,1,0,pro-Israel/anti-Hamas
Anyone with a Beard is suspect,0,0,pro-Israel/anti-Hamas
What’s up with dudes neck?,0,0,pro-Israel/anti-Hamas
They ain't going in. Israeli IDF is not qualified for a real confrontation. That's why there is two US aircraft carrier strike groups on their coast.,0,0,pro-Israel/anti-Hamas
"Wow, no mention of what the hostages said where they were fed and treated well, but i still trust you fox news",7,2,pro-Israel/anti-Hamas
It's so dangerous when a brutal genocidal oppressor pretend to be the victim,1,0,pro-Israel/anti-Hamas
"Well, then the innocent Palestinians won’t have to do anything against the Hamas.",0,0,pro-Israel/anti-Hamas
"Israel, please defend our borders!",0,0,pro-Israel/anti-Hamas
"How and why is this intel being broadcast? If I were Israel, I'd start to close my channels.",0,0,pro-Israel/anti-Hamas
Where is his neck??? The one from Tampa Florida…,0,0,pro-Israel/anti-Hamas
Hamas got that amazon camo on,0,0,pro-Israel/anti-Hamas
Sharon don’t threaten,0,0,pro-Israel/anti-Hamas
,0,0,pro-Israel/anti-Hamas
My guess is move in seal team that went for bin laden once they access the tunnels they launch the ground invasion move in all they got if the seal team doesn't makes it out they send in more teams.,0,1,pro-Israel/anti-Hamas
Why don’t these use that one technology that can map things that are underground,0,0,pro-Israel/anti-Hamas
Evil,0,0,pro-Israel/anti-Hamas
Let’s make Mike Tyson speaker of the house.,0,0,pro-Israel/anti-Hamas
Sorry. There are no innocent Palestinians. Why? Do you have a family member in Hamas? Did you turn them in to the IDF? Do you know where weapons are stored or made or fired from? Have you told the IDF? Do you know where Hamas leadership lives? Have you told the IDF? If the answer is No you are supporting Hamas and reap what you sow.,1,0,pro-Israel/anti-Hamas
American dad jaw.,1,0,pro-Israel/anti-Hamas
We all have fallen short of meeting God's glorious standard. But God through Jesus came to Earth in the 1st century and paid for our redemption. Jesus was God in human flesh reconciling his creation back to himself. Jesus voluntarily died on the cross and rose from the grave to pay for our freedom. Now whoever trusts in Jesus will become right with God and have all their sins forgiven in order to inherit paradise in the after life.,1,0,pro-Israel/anti-Hamas
What New Israeli unit? Clickbait?,0,0,pro-Israel/anti-Hamas
"Yeah, Looks like ""Withdrawal"" and ""Ceasefire"" are not gonna happen!",0,0,pro-Israel/anti-Hamas
"O malicious media, why did you not mention what the released woman said that she was treated humanely and ate the same food as her captors? But this is you, shameful media the pathetic media relay on captured fighters' statements as if they are stating on a free will.",6,2,pro-Israel/anti-Hamas
Shri Lanka took Europe to Dubai UAE and Bahrain,0,0,pro-Israel/anti-Hamas
Asia has Emirates,0,0,pro-Israel/anti-Hamas
Egypt is cousins too Kuwait,0,0,pro-Israel/anti-Hamas
Middle East is hotel Rwanda,0,0,pro-Israel/anti-Hamas
Stupid question but how does intelligence know who was involved ?,0,1,pro-Israel/anti-Hamas
Egypt is huthis,0,0,pro-Israel/anti-Hamas
Release the Rambos!,0,0,pro-Israel/anti-Hamas
Pakistan and Afghanistan are the next hotel Rwanda,0,0,pro-Israel/anti-Hamas
Dude looks like the mushroom guy from SM,0,0,pro-Israel/anti-Hamas
O’Bama? That Irishman? He’s irrelevant,0,0,pro-Israel/anti-Hamas
Praying for Palestinians,0,1,pro-Gaza/Palestine
Weeping for Nazis? No not this time.,0,0,pro-Israel/anti-Hamas
"Fox has been trying out their new motto: The more you watch, the less you know!! How do you mags feel about this??",16,16,pro-Israel/anti-Hamas
Don't be a sheep. Be a sheepdog! Arm yourself appropriately! 2nd Amendment baby! Not today HaSatan!,0,0,pro-Israel/anti-Hamas
I wonder if they can come deal. With our maga insurgency problem?,0,0,pro-Israel/anti-Hamas
SO AFRAID OF WHAT YOU CAN'T UNDERSTAND. SO.,0,0,pro-Israel/anti-Hamas
Palestinian citizens invaded that day with hamas....,0,0,pro-Israel/anti-Hamas
The Einsatzgruppen.,0,0,pro-Israel/anti-Hamas
Hhmmnnn....politics in favor of iran !!!... foolishness !!!....,0,0,pro-Israel/anti-Hamas
This Hamas is a liar..,0,0,pro-Israel/anti-Hamas
VOTE BLUE,0,0,pro-Israel/anti-Hamas
The Barabbas Unit,0,0,pro-Israel/anti-Hamas
Liars,0,0,pro-Israel/anti-Hamas
,0,0,pro-Israel/anti-Hamas
Un Chief makes ridiculous statements. UN Chief should come and live in the Israel next to Gaza what is the real matters ... ️️,0,0,pro-Israel/anti-Hamas
"stop fighting! stop killing! an eye for an eye makes our whole world go blind. Our blessed Lord taught us to turn the other cheek and forgive 77 times 7 times. Lord Jesus Christ, our Saviour, forgive us. He said “Peace be with you, my peace, I give you. “ We know not what we do, history always repeats itself.",0,1,pro-Israel/anti-Hamas
HAIL THE MOST HIGH ! TRUMP,11,0,pro-Israel/anti-Hamas
So how is anyone going to know every single person involved? I'm confused Lord Have Mercy on us ALL!!,0,0,pro-Israel/anti-Hamas
,0,0,pro-Israel/anti-Hamas
hello girl,0,0,pro-Israel/anti-Hamas
How do hamas have new AR-16 for that USA gun's in the new picture from gaza strip. What happen,0,0,pro-Israel/anti-Hamas
this was all about ethnic cleansing by the Israelis.,0,0,pro-Israel/anti-Hamas
Operation Wrath of God II,0,0,pro-Israel/anti-Hamas
Staged,0,0,pro-Israel/anti-Hamas
Fox reporting has turned to shhht full of it one sided reporting,4,0,pro-Israel/anti-Hamas
did u cut some parts.? just to hide the truth?,1,2,pro-Israel/anti-Hamas
Kuwait married Saudi Arabia,0,0,pro-Israel/anti-Hamas
Listen to the propaganda from a Blackrock holding...,0,0,pro-Israel/anti-Hamas
Amricans always they are super smart but are losing to china....,1,1,pro-Israel/anti-Hamas
Watch the rest of press conference with the elderly women she says she was treated well and taken care of,2,1,pro-Israel/anti-Hamas
Biased news I feel bad for whoever falls for this propaganda,0,0,pro-Israel/anti-Hamas
They hav no idea where d hostages r. So how r they gonna rescue them???,0,0,pro-Israel/anti-Hamas
Fox reporting is pathetic.,14,0,pro-Israel/anti-Hamas
"The media didn’t what the old lady said. They didn’t show how the old lady got treated, shared food and provided nurse to check their health. It’s pathetic media.",1,2,pro-Israel/anti-Hamas
"Condolences to palestenians and Israelis families. What i want to see Israelis public holds Natenyaho accountable for making things worse between Israelis and palestenians throughout the years. Natenyahoo knew about whats coming and he let ot pass, just to escape charges of corruption. And court. Both palestenians and Israelis deserve to live a peaceful life. They both want it. But the Israeli leader didn't allow it ro happen. Becuz even if hms is gone, but still things will get only worse",2,1,pro-Israel/anti-Hamas
More one sided bull.,0,0,pro-Israel/anti-Hamas
Was HAMAS created by a chef ?,0,1,pro-Israel/anti-Hamas
Biblia 4 1false prophet. 2minister of chaos. 3judas love of money. 4false informer Satanas...,0,0,pro-Israel/anti-Hamas
🇮🇳🇮🇱🇮🇳🇮🇱🇮🇳🇮🇳🇮🇳🇮🇳,0,0,pro-Israel/anti-Hamas
Please do not forget Ukraine and keep an eye on Russia !,1,1,pro-Israel/anti-Hamas
"It’s crazy how you clip that interview to only show one side of it. Please watch the full interview with the hostage she clearly mentions how kind, and how they treated her well. They gave them food, water, clean toilets, and feminine products if needed. I condemn the kidnapping of innocent civilians but let’s make sure to present the facts how they’re Hamas is not ISIS they would’ve beheaded them a long time ago and televised it.",4,3,pro-Israel/anti-Hamas
the propaganda is unreal,0,0,pro-Israel/anti-Hamas
Did Hamas kidnap his neck?,0,0,pro-Israel/anti-Hamas
I swear the guy on the left is from the lollipop guild,0,0,pro-Israel/anti-Hamas
"IDF""blah blah blah"" wake me up when the IDF grows a pair of balls",0,0,pro-Israel/anti-Hamas
,0,0,pro-Israel/anti-Hamas
Almost kids TV reporting...typical USA,0,0,pro-Israel/anti-Hamas
"Hamas bukan teroris, mereka adalah pejuang yang mempertahankan tanah airnya dari penjajah yang pengecut",0,0,pro-Israel/anti-Hamas
I ain’t got a neck Martha,0,0,pro-Israel/anti-Hamas
>>>>>>>> Increase Your Satisfaction … By Understanding Your Existence … sea rch EXISTNC,0,0,pro-Israel/anti-Hamas
That woman was told if she said anything negitive about Hamas her husband would suffer,0,0,pro-Israel/anti-Hamas
That woman was told if she said anything negitive about Hamas her husband would suffer,30,3,pro-Israel/anti-Hamas
"The reportage on this war from west media is fascinating. The conservative media is just making it worse, you people claim to be christians, you're hypocrites.",2,0,pro-Israel/anti-Hamas
🇮🇱🇮🇱🇮🇱🇮🇱️️️️,0,0,pro-Israel/anti-Hamas
Free Palestine 🇵🇸,0,0,pro-Gaza/Palestine
Nobody believes this stuff,0,0,pro-Israel/anti-Hamas
Mimi was not taken hostage? Was she?,0,1,pro-Israel/anti-Hamas
seal really ?sounds more like a woke leftie,0,0,pro-Israel/anti-Hamas
Free Palestine,0,0,pro-Gaza/Palestine
"The reportage on this war from west media is fascinating. The conservative media is just making it worse, you people claim to be christians, you're hypocrites.",0,0,pro-Israel/anti-Hamas
For a moment I was put in their shoes to see what it feels like to be hollow walking blind so to speak the Holy Spirit had left me and I felt empty I fell flat on my face In Shame I hit the ground he had then appeared to me like a white dove and came back to me I knew then how it felt to be void Jesus completes you and fills the void but let his words not be twisted he is the key no one gets to heaven but through the son and you must believe that God raised him from the dead with your whole heart mind and spirit seek him you shall find him and be at perfect peace Christ is life the very breath you breathe all things in life have meaning if nothing had meaning the very meaning of purpose would contradict itself the very light that shines from a cloud on a sunrise is an example of God’s love for us Jesus is special he is the key john 3:16,0,0,pro-Israel/anti-Hamas
Boycott FOX,0,0,pro-Israel/anti-Hamas
🇮🇱🇮🇳🇮🇱🇮🇳🇮🇱🇮🇳🇮🇱🇮🇳,0,0,pro-Israel/anti-Hamas
Or did Karl use her face for this fake video,0,0,pro-Israel/anti-Hamas
Isreal said they would become sacrifices,1,0,pro-Israel/anti-Hamas
Mainstream Propaganda at work,0,0,pro-Israel/anti-Hamas
"5500 people of Gaza have been killed so far. 45% of them are children and 35% are women But on the other hand, Hamas treats Israeli captive women and children with Islamic behavior and medical care and good behavior and frees them voluntarily.",4,2,pro-Israel/anti-Hamas
Free free Palestine 🇵🇸,0,1,pro-Gaza/Palestine
"You are cutting what she said, tell the hole truth. She said that Hamas were very kind ,carful with the hostages health and very humanitarian with them.",0,1,pro-Israel/anti-Hamas
🇮🇱🇮🇱🇮🇱,0,0,pro-Israel/anti-Hamas
Former Trump campaign lawyer Jenna Ellis pleads guilty in Georgia case Trump loses again!!!!!,0,0,pro-Israel/anti-Hamas
Stands with Palestine,0,1,pro-Gaza/Palestine
🫃,0,0,pro-Israel/anti-Hamas
Lol they forgot to show the grandma turning back to shake hamas guys hand and when asked why she said they was treated really well given medication everything and they kept it really clean i dont agree with hamas at all but i think some news channels are trying to purposely cause more hate,0,0,pro-Israel/anti-Hamas
Lol fox is so pathetic. I love the way they present the news. As if I don't have a brain,3,1,pro-Israel/anti-Hamas
Free Palestinian leave Palestinians land,0,2,pro-Israel/anti-Hamas
"The occupation of the Palestinian territories is characterized by brutality, harassment, and the denial of basic rights, causing immense suffering for the Palestinian people. - Dr. Gabor Maté, a Holocaust survivor, Hungarian Jewish heritage.",2,2,pro-Israel/anti-Hamas
lol kekw fake news,0,0,pro-Israel/anti-Hamas
"Free palestine !!! Bring Bibi and his ally : the Hamas to the international court for war crimes!!! ""None of this was a secret. In March 2019, Netanyahu told his Likud colleagues: “Anyone who wants to thwart the establishment of a Palestinian state has to support bolstering Hamas and transferring money to Hamas … This is part of our strategy – to isolate the Palestinians in Gaza from the Palestinians in the West Bank.”",1,1,pro-Israel/anti-Hamas
